"task_id","sector","occupation","prompt"
"4c18ebae-dfaa-4b76-b10c-61fcdf26734c","Government","Compliance Officers","You work in the Special Investigations Unit of The Golden Apple Bank as a Senior Investigator. Your responsibility is to investigate and report suspicious activity in accordance with the Financial Cri"
"cebf301e-5ea7-41ae-b117-ad8f43e7ac22","Professional, Scientific, and Technical Services","Computer and Information Systems Managers","You are a CTO at an early stage CleanTech startup that sells customized battery systems for households. Customers buy these batteries through a sales process that currently has manual processes that n"
"c2e8f271-7858-412f-b460-472463ad81d9","Professional, Scientific, and Technical Services","Computer and Information Systems Managers","You are an Engineering Manager responsible for four software teams at a Product Agency that is hired by clients to augment and increase the delivery speed of internal software tools. You are responsib"
"2ea2e5b5-257f-42e6-a7dc-93763f28b19d","Professional, Scientific, and Technical Services","Computer and Information Systems Managers","You are an IT manager in your company. The organization is a large enterprise, and your IT department supports product development teams, customers, and business users. You team conducted a study of h"
"c357f0e2-963d-4eb7-a6fa-3078fe55b3ba","Professional, Scientific, and Technical Services","Computer and Information Systems Managers","You are an IT Manager at a large organization, overseeing its IT needs. Your department is primarily an IT organization and has between seven and ten sub-departments, more than twenty programs, and ov"
"a45bc83b-22f9-4def-8d89-9c5661b2b86f","Professional, Scientific, and Technical Services","Computer and Information Systems Managers","You are a Solutions Architect assisting a customer in migrating and modernizing their on-premises application to run on Google Cloud Platform (GCP).  The customer has provided a summary of the current"
"a10ec48c-168e-476c-8fe3-23b2a5f616ac","Real Estate and Rental and Leasing","Concierges","You are a Concierge at a luxury residential property, focused on improving the quality of service. You are working on creating a file that includes an analysis of the restaurants located in Downtown S"
"fccaa4a1-1c39-49ac-b701-55361a19966b","Real Estate and Rental and Leasing","Concierges","You work as a Senior Lifestyle Manager at a luxury concierge company for ultra-high-net-worth individuals.  Your client is currently in New York City and has asked you to arrange for early and VIP acc"
"f5d428fd-b38e-41f0-8783-35423dab80f6","Real Estate and Rental and Leasing","Concierges","You are a Senior Lifestyle Manager at a luxury concierge company that serves ultra-high-net-worth individuals.  Prepare a concise, two-page PDF itinerary outlining a seven-day yacht trip to the Bahama"
"2fa8e956-7b35-4c13-95dc-027f02be318b","Real Estate and Rental and Leasing","Concierges","It is August 20, 2025 and you are a Senior Lifestyle Manager at a luxury concierge company for ultra-high-net-worth individuals.  A member is currently staying at The Westin Verasa Napa in Napa Valley"
"0e4fe8cd-16d0-4f41-8247-6385b4762582","Real Estate and Rental and Leasing","Concierges","You are the Chief of Staff and Head of Concierge for an ultra-high net worth individual. He is a visionary founder who exited his last venture for over $1 billion dollars. The monetary value of the in"
"a0ef404e-82a6-4507-bff1-633d7c8e0004","Real Estate and Rental and Leasing","Counter and Rental Clerks","You are a car rental clerk with five years of experience at an international airport. Due to the high volume of business at this location, it also serves as a final training site for onboarding new re"
"b7a5912e-0e63-41f5-8c22-9cdb8f46ab01","Real Estate and Rental and Leasing","Counter and Rental Clerks","It is June 27, 2025, and you are a  Car Rental Clerk with over 5 years of experience, assigned for the second shift at an airport location. As part of your daily closing responsibilities, you are requ"
"aa071045-bcb0-4164-bb85-97245d56287e","Real Estate and Rental and Leasing","Counter and Rental Clerks","Today is September 18th and you are a Car Rental Clerk working at the ORD (Chicago O'Hare Airport) location. During your shift today a client returned a car with a broken (left/driver's) rearview mirr"
"476db143-163a-4537-9e21-fe46adad703b","Real Estate and Rental and Leasing","Counter and Rental Clerks","You are a leasing agent at Qyrevia Property Management, overseeing a community consisting of 98 units. Your role includes, amongst other responsibilities, the move-out process for tenants. Part of the"
"61f546a8-c374-467f-95cc-d0d9b5656eb6","Real Estate and Rental and Leasing","Counter and Rental Clerks","You are a leasing agent at TR Apartments. There were 4 move outs on 6/30/25. Since your manager is on vacation this week, you will prepare a report that will help her plan a timeline to turn these vac"
"f3351922-dbdd-45da-85c5-e7110696bbe5","Finance and Insurance","Customer Service Representatives","You are a dedicated service representative at a government agency. In this role, you are responsible for helping customers with inquiries relating to the Thrift Savings Plan (TSP). You are currently e"
"61717508-4df7-41be-bf97-318dfb2475c0","Finance and Insurance","Customer Service Representatives","You’re a Senior Customer Service Representative who’s been asked to help train new hires at your financial services contact center. Lately, a few trainees have pulled you aside and said they’re strugg"
"0ed38524-a4ad-405f-9dee-7b2252659aad","Finance and Insurance","Customer Service Representatives","You are a customer service representative working at the Enterprise County Improvement District (ECID). ECID is comprised of four county districts. People residing or doing business in each of the dis"
"87da214f-fd92-4c58-9854-f4d0d10adce0","Finance and Insurance","Customer Service Representatives","You've worked for six years as a reimbursement services representative for a digital security services company, Gold Digital Insurance, that provides identity theft insurance to individual retail cust"
"d025a41c-c439-4ee1-bc79-dd5c94b27a2d","Finance and Insurance","Customer Service Representatives","You are a customer service representative who works for a bank. You are on a team that provides assistance via the organization’s live chat channel, and a fellow customer service representative has co"
"401a07f1-d57e-4bb0-889b-22de8c900f0e","Information","Editors","You are an editor at a well-regarded international science magazine with weekly publications. The magazine's audience is international and includes researchers and policy makers. As part of your role,"
"afe56d05-dac8-47d7-a233-ad1d035ca5bd","Information","Editors","You are a managing editor at an international broadcast organization. Your outlet, “WorldCast” has recently expanded, adding several journalists to the reporting team.  WorldCast is consistently rated"
"9a8c8e28-ce76-408b-83c3-488422892e58","Information","Editors","You are the new editor of an online news outlet based in the UK. Your team are all experienced journalists and editorial staff, with a few junior team members. Within the team there are widely differi"
"3a4c347c-4aec-43c7-9a54-eb1f816ab1f9","Information","Editors","You are an editor at a respected online news publisher. Though the outlet is based in the UK, the audience is international.  You cover the enterprise technology industry, focusing on innovation, publ"
"ec2fccc9-b7f6-4c73-bf51-896fdb433cec","Information","Editors","You work for a photo app that is looking to move into the photography NFT space. The app in question is a curated platform that offers precise GPS coordinates of beautiful, “Instagrammable” locations "
"8c8fc328-69fc-4559-a13f-82087baef0a1","Information","Film and Video Editors","You are a video editor at a video production company. You have been tasked with writing a basic script (not a shooting script) that aligns with the client's needs. This is a new project, so informatio"
"e222075d-5d62-4757-ae3c-e34b0846583b","Information","Film and Video Editors","You are a video editor in California, and one of your clients is an agency specializing in progressive social/political campaigns. The agency has asked that you create a 30-second commercial for broad"
"c94452e4-39cd-4846-b73a-ab75933d1ad7","Information","Film and Video Editors","You are a video editor in California and one of your clients is an agency specializing in progressive social/political campaigns. The agency has asked that you create a 15-second commercial for broadc"
"75401f7c-396d-406d-b08e-938874ad1045","Information","Film and Video Editors","You are a video editor in 2025 tasked to put together a show reel for a motion graphics and CGI studio called Goodsin Studios.   Using the included reference material of 13 videos (reel footage.zip), "
"a941b6d8-4289-4500-b45a-f8e4fc94a724","Information","Film and Video Editors","You are a video editor and compositor for film and television productions. A filmmaker has approached you to complete a visual effects shot for his science fiction film. The shot is part of a scene in"
"8079e27d-b6f3-4f75-a9b5-db27903c798d","Finance and Insurance","Financial and Investment Analysts","It is April 11, 2025 and you are an Investment Banking Analyst in the Equity Capital Markets group. Given recent market volatility, one of your clients who trades in the public market is interested in"
"e21cd746-404d-4602-b9d2-01d2812c5b87","Finance and Insurance","Financial and Investment Analysts","It is April 2025 and you are a Managing Director at an investment banking firm covering the e-commerce / fulfillment / last mile logistics sector. One of your clients is interested in making a foray i"
"9e8607e7-a38a-491f-ace1-e5ea7dc477cb","Finance and Insurance","Financial and Investment Analysts","It is fall 2023 and you are a Managing Director at an investment banking firm working on cultivating a value-add relationship with a publicly traded consumer internet client who operates globally in N"
"c7d83f01-2874-4876-b7fd-52582ec99e1a","Finance and Insurance","Financial and Investment Analysts","You are a Quantitative Researcher at a proprietary trading firm. Historically, your desk has focused on delta-one products, but there is now a strategic initiative to expand into single-name options t"
"46b34f78-6c06-4416-87e2-77b6d8b20ce9","Finance and Insurance","Financial and Investment Analysts","You are a quantitative analyst covering the energy desk within the Commodities division of a sell-side investment bank. Your desk manages a $300M portfolio with 10% in energy-linked bonds with exposur"
"a1963a68-1bea-4bb1-b7e0-145c92a57449","Finance and Insurance","Financial Managers","It is May 2024 and you are the Head of Strategy for SuperK-Taxi (SuperK-T) Korea in South Korea. A new Korea CEO has recently been appointed and has tasked you with developing a robust growth strategy"
"5f6c57dd-feb6-4e70-b152-4969d92d1608","Finance and Insurance","Financial Managers","You are a Finance Manager of a company overseeing several company branches.  In this role, you are responsible for creating a standardized reporting package for senior management that aims to ensure t"
"b39a5aa7-cd1b-47ad-b249-90afd22f8f21","Finance and Insurance","Financial Managers","You work for the Renaissance Popular Orchestra where the musicians are newly operating under a collective bargaining agreement (CBA), which determines their compensation based on a number of different"
"b78fd844-db76-448e-a783-5e9877cb74c2","Finance and Insurance","Financial Managers","You are a Senior Finance Manager at Tiny-Rod Hit Inc., a well-established diversified technology firm, with consistent profitability and a strong balance sheet. As of May 2025, the company has $100 mi"
"4520f882-715a-482d-8e87-1cb3cbdfe975","Finance and Insurance","Financial Managers","You work for a theatre that employs local musicians for touring Broadway shows. Use the attached collective bargaining agreement (CBA) excerpt to build a spreadsheet in Excel that can be used by the l"
"ec591973-04d5-48c0-981c-1ab2fcec2dc1","Wholesale Trade","First-Line Supervisors of Non-Retail Sales Workers","You are the Director of Strategy for a prestige cosmetic brand with distribution across multiple retail channels, including open-sell, traditional specialty stores, and owned brand boutiques. Create a"
"62f04c2f-e0f7-4710-876c-54ee9c2e8256","Wholesale Trade","First-Line Supervisors of Non-Retail Sales Workers","Gravon Shoes manufactures, markets, and sells footwear to specialty independent retailers and department stores across the United States. You are the sales manager, and you manage a staff of 15 indepe"
"3f821c2d-ab97-46ec-a0fb-b8f73c2682bc","Wholesale Trade","First-Line Supervisors of Non-Retail Sales Workers","It is July 2025. You are a Divisional Merchandise Manager for a department store. You’ve been asked to build an omnichannel stock and sales flow for the Fall Season (August-January). This flow should "
"e996036e-8287-4e7f-8d0a-90a57cb53c45","Wholesale Trade","First-Line Supervisors of Non-Retail Sales Workers","You are the Senior Director of Sales for a mid-size cosmetic brand preparing to open a new retail account, CosmoGenics, operating 20 store locations. CosmoGenics' store expansion is relatively new and"
"327fbc21-7d26-4964-bf7c-f4f41e55c54d","Wholesale Trade","First-Line Supervisors of Non-Retail Sales Workers","It is April Week 1 (P3 W1 per the retailer 4-5-4 calendar) and you are a Merchandise Planner at a candy store. You are creating sales plans for May, which includes a peak selling week for Mother’s Day"
"6dcae3f5-bf1c-48e0-8b4b-23e6486a934c","Health Care and Social Assistance","First-Line Supervisors of Office and Administrative Support Workers","You are the residency program coordinator for the otolaryngology residency program at Silverview Hospital. As part of a new initiative, the program director (PD) wants to be more proactive about insti"
"1aecc095-4d76-4b89-b752-1a0f870502cd","Health Care and Social Assistance","First-Line Supervisors of Office and Administrative Support Workers","You are the Operations Manager for the Family Medicine Department at Calm River Health Center. The Health Center is currently updating its EMR system and undergoing a current physical space renovation"
"0353ee0c-18b5-4ad3-88e8-e001d223e1d7","Health Care and Social Assistance","First-Line Supervisors of Office and Administrative Support Workers","You are the Director of Clinic Operations for a large healthcare system that serves U.S. veterans. Many of the veterans that come to your outpatient clinics apply for service-related disability claims"
"40a8c4b1-b169-4f92-a38b-7f79685037ec","Health Care and Social Assistance","First-Line Supervisors of Office and Administrative Support Workers","You are the Medical Education Administrator for the Otolaryngology department in the School of Medicine. As part of your role, you are responsible for creating the annual grand rounds schedule for the"
"4d1a8410-e9c5-4be5-ab43-cc55563c594c","Health Care and Social Assistance","First-Line Supervisors of Office and Administrative Support Workers","Every year, Nu Arc Medical Center (NAMC) interviews applicants for a position in their Medical Training Program (MTP). This year, they want to create a new schedule to interview applicants due to an i"
"8c823e32-537c-42b2-84ba-635d63c2853a","Government","First-Line Supervisors of Police and Detectives","You are a Sergeant assigned to a Policy Development Unit, in the year 2025. Your assignment is to create a new General Manual procedure.  This procedure will be incorporated into the Police Manual and"
"eb54f575-93f9-408b-b9e0-f1208a0b6759","Government","First-Line Supervisors of Police and Detectives","You are a police department firearms training coordinator assigned to develop a formal report for the Chief of Police regarding the procurement of new duty rifles for departmental issuance. The report"
"11e1b169-5fb6-4d79-8a83-82ddf4987a85","Government","First-Line Supervisors of Police and Detectives","You are located in the state of Kentucky and are a Platoon Sergeant for a large police agency. As a Platoon Sergeant you supervise the uniformed officers who respond to calls for service. You are newl"
"a95a5829-34bb-40f3-993b-558aed6dcdef","Government","First-Line Supervisors of Police and Detectives","You are a Police Department Sergeant involved in training and recruitment. There is currently no formal policy that establishes the procedure for processing training requests within the agency. A form"
"22c0809b-f8db-489e-93b3-b4da225e3e0e","Government","First-Line Supervisors of Police and Detectives","You are the Unit Commander (Lieutenant) of the Homeland Security Unit of your Department. Your department is located in the Midwest and has 1,300 sworn personnel. In this capacity you supervise one Se"
"bf68f2ad-eac5-490a-adec-d847eb45bd6f","Manufacturing","First-Line Supervisors of Production and Operating Workers","You are a supervisor at a company that produces welded parts using the metal inert gas (MIG) process.  The plant at which you work is currently 2 weeks behind schedule for its welding operations, and "
"efca245f-c24f-4f75-a9d5-59201330ab7a","Manufacturing","First-Line Supervisors of Production and Operating Workers","You are a Production Manager within a Manitoba automotive parts production facility that makes both OEM components for major auto makers and premium aftermarket vehicle accessories.  Due to a raw mate"
"9e39df84-ac57-4c9b-a2e3-12b8abf2c797","Manufacturing","First-Line Supervisors of Production and Operating Workers","You are a production supervisor overseeing a high-volume, two-shift operation (day and night) that runs five days a week across three machine lines. A total of nine operators are assigned across these"
"68d8d901-dd0b-4a7e-bf9a-1074fddf1a96","Manufacturing","First-Line Supervisors of Production and Operating Workers","You are a First-Line Supervisor at Crispivore in Omaha, where raw pet food is freeze dried for animal consumption. The company is running a trial on a new meat product, beef, for future production. Th"
"1752cb53-5983-46b6-92ee-58ac85a11283","Manufacturing","First-Line Supervisors of Production and Operating Workers","You are a production supervisor for a wire extrusion manufacturing facility.  Your facility recently purchased two new extrusion machines (Press 1 and Press 2).  Both presses have been signed off for "
"bd72994f-5659-4084-9fab-fc547d1efe3b","Retail Trade","First-Line Supervisors of Retail Sales Workers","You are a senior client advisor at a luxury boutique. In this role, you manage client outreach and are responsible for creating appointments with clients through effective communication. Recently, new"
"211d0093-2c64-4bd0-828c-0201f18924e7","Retail Trade","First-Line Supervisors of Retail Sales Workers","You are a department supervisor at a retail electronics store that sells a wide range of products, including TVs, computers, appliances, and more. You are responsible for ensuring that the department’"
"d4525420-a427-4ef2-b4e9-2dcc2d31b3b6","Retail Trade","First-Line Supervisors of Retail Sales Workers","You are a new salaried manager at a large-volume grocery store. The store manager has asked you to evaluate all current employees to select a replacement for the overnight hourly manager position. You"
"45c6237b-f9c9-4526-9a8d-6a5c404624ec","Retail Trade","First-Line Supervisors of Retail Sales Workers","You are a Retail Sales Manager and Buyer for Crescent Pines Lodge & Spa. Your job is to oversee all retail stores inside the resort, including purchasing of the apparel and custom souvenirs to be sold"
"cecac8f9-8203-4ebd-ad49-54436a8c4171","Retail Trade","First-Line Supervisors of Retail Sales Workers","It is September 2024 and you are a Retail Sales Manager. The store you manage is located in the UK. You have been tasked with leading the 2024 Black Friday event. You'll guide your team and your store"
"8f9e8bcd-6102-40da-ab76-23f51d8b21fa","Retail Trade","General and Operations Managers","You are a retail general manager at a bridal store. You need to teach your entire bridal sales team how to overcome objections and/or hesitations to the purchase of bridalwear. Create a Word document "
"0fad6023-767b-42c1-a1b3-027cd4f583cb","Retail Trade","General and Operations Managers","You are the Regional Director of Meat and Seafood departments for a region of stores. Meat Department Team Leaders and Seafood Department Team Leaders (TLs) execute the retail conditions you establish"
"02314fc6-a24e-42f4-a8cd-362cae0f0ec1","Retail Trade","General and Operations Managers","As the Safety Coordinator in the Store Operations Department for a General Merchandise, Fresh Foods and Grocery Retailer, the primary focus of this role is to establish a comprehensive Monthly Safety "
"4d61a19a-8438-4d4c-9fc2-cf167e36dcd6","Retail Trade","General and Operations Managers","You are the Regional Director of a region of multiple grocery store meat departments. Each store has a meat department manager known as a Meat Team Leader that follows the process leadership of your R"
"6436ff9e-c5f2-47ba-9aaa-49d89b0594ab","Retail Trade","General and Operations Managers","You work as a consultant for an art studio. In-person studio classes are one of the strongest income streams for this small business. While there is a desire to improve the classes they offer, the tea"
"8a7b6fca-60cc-4ae3-b649-971753cbf8b9","Manufacturing","Industrial Engineers","You are an Industrial Engineer at a logistics company that handles high-volume parcel processing. The Clearbend Logistics Hub is a large-scale sorting facility with automated conveyor belt, and manual"
"40a99a31-42d6-4f23-b3ec-8f591afe25b6","Manufacturing","Industrial Engineers","You are an Industrial Engineer tasked with identifying a solution to enhance safety, automation, and visibility across a robotic Computer Numerical Control (CNC) work cell. The system includes a robot"
"b9665ca1-4da4-4ff9-86f2-40b9a8683048","Manufacturing","Industrial Engineers","You are an engineer at a custom automation equipment manufacturing firm. The firm is based in the US, and operates across various sectors with no specific industry focus in its automation equipment de"
"c6269101-fdc8-4602-b345-eac7597c0c81","Manufacturing","Industrial Engineers","You are an Industrial Engineer working for a large organization that operates multiple high-volume processing centers. Leadership has asked for assistance with the Brightland Processing Center, which "
"be830ca0-b352-4658-a5bd-57139d6780ba","Manufacturing","Industrial Engineers","You are an Industrial Engineer working for a large logistics company. You have been assigned to support the Analyze Tollgate of a Lean Six Sigma Greenbelt project focused on improving processing rate "
"cd9efc18-d14a-4f69-8531-5d178a08084d","Professional, Scientific, and Technical Services","Lawyers","You work at a new estate planning law firm in Texas. It is April 2023, and your supervising attorney has asked you to draft the first formal and comprehensive Last Will and Testament for a client resi"
"a97369c7-e5cf-40ca-99e8-d06f81c57d53","Professional, Scientific, and Technical Services","Lawyers","You are a U.S. lawyer.  A long-standing client of your law firm, Avalon Bancorp Inc. (""Avalon""), just reached out to you with a new matter.  Below sets out some background information: - Avalon is a c"
"3f625cb2-f40e-4ead-8a97-6924356d5989","Professional, Scientific, and Technical Services","Lawyers","You are an attorney at a small law firm based in California, X Privacy Law. A client, the father of a 10-year-old boy, has approached you with concerns that YouTube may have illegally collected person"
"aad21e4c-1d43-45fc-899a-97754a1b1b63","Professional, Scientific, and Technical Services","Lawyers","You are a U.S.-based attorney.  One of your clients, Alan Gane, founded and owns a very successful manufacturing business, which he recently sold to a private equity company.  Alan now wishes to branc"
"8314d1b1-5b0f-42a4-b5d5-91c0867b0913","Professional, Scientific, and Technical Services","Lawyers","You are an attorney who just secured a new client, Elias Veynor, a serial entrepreneur.  Elias is the founder and chairman of Clarivon Group Inc. (""Clarivon Group""), a public company formed and domici"
"5e2b6aab-f9fb-4dd6-a1a5-874ef1743909","Manufacturing","Mechanical Engineers","You are a Mechanical Engineer who assists customers who are inventing products. A typical customer will not be very knowledgeable in mechanical engineering or electrical engineering and relies on your"
"46fc494e-a24f-45ce-b099-851d5c181fd4","Manufacturing","Mechanical Engineers","You are a mechanical engineer working at the materials lab at an aerospace firm, developing a reusable forward-edge protection system for a high-Mach experimental aircraft. A carbon/silicon-carbide (C"
"3940b7e7-ec4f-4cea-8097-3ab4cfdcaaa6","Manufacturing","Mechanical Engineers","You are a Mechanical Engineer at a small aerospace firm designing an experimental X-Wing assembly for a next-generation aircraft. To support the design review, create a draft flow-simulation report ba"
"8077e700-2b31-402d-bd09-df4d33c39653","Manufacturing","Mechanical Engineers","You are a mechanical engineer assigned to the Materials Testing Laboratory. You have been asked to analyze the effects of quenching-tempering durations on AISI 1018 and AISI 1045 steels. The goal is t"
"5a2d70da-0a42-4a6b-a3ca-763e03f070a5","Manufacturing","Mechanical Engineers","You are a Senior Mechanical Engineer with 20 years of experience in manufacturing and a substantial background in machine tool practices. A company named ""MEDICALfirm"" has hired you to assist in the i"
"74d6e8b0-f334-4e7e-af55-c095d5d4d1a6","Health Care and Social Assistance","Medical and Health Services Managers","You are the medical director of a startup that is building a virtual menopause care platform called ""MenoHelp"".  Before MenoHelp can begin offering clinical services, the company needs comprehensive h"
"81db15ff-ceea-4f63-a1cd-06dc88114709","Health Care and Social Assistance","Medical and Health Services Managers","You are the director of telehealth expansion at a behavioral health company. Company leadership is considering expanding telehealth services into Arizona, Pennsylvania, Washington, West Virginia, and "
"61b0946a-5c1c-4bf6-8607-84d7c7e0dfe0","Health Care and Social Assistance","Medical and Health Services Managers","You are the Health Manager of the Medical Education team in the General Surgery Department at Hope Hospital. Every year, the Surgery Department purchases 4 cadavers for the general surgery residents t"
"61e7b9c6-0051-429f-a341-fda9b6578a84","Health Care and Social Assistance","Medical and Health Services Managers","You are the Medical Director of an online Women's Health clinic that is preparing to open a dedicated perimenopause and menopause service. As part of the preparations for opening the new clinical serv"
"c9bf9801-9640-45fa-8166-1ab01f2d98e4","Health Care and Social Assistance","Medical and Health Services Managers","You are a Senior Advisor for Workforce Equity in DGHT. You have been asked to finalize a comprehensive and professional mentorship program guide to support the launch and implementation of the Divisio"
"f1be6436-ffff-4fee-9e66-d550291a1735","Health Care and Social Assistance","Medical Secretaries and Administrative Assistants","You are the medical secretary for the department of internal medicine at Sacred Health Hospital located in Chicago, Illinois. As part of your duties, you coordinate and arrange all of the travel and l"
"41f6ef59-88c9-4b2c-bcc7-9ceb88422f48","Health Care and Social Assistance","Medical Secretaries and Administrative Assistants","You work as a medical secretary for a weight loss clinic. The clinic operates on a subscription model, and patients pay for their weight loss medications out-of-pocket through monthly automatic deduct"
"a0552909-bc66-4a3a-8970-ee0d17b49718","Health Care and Social Assistance","Medical Secretaries and Administrative Assistants","You work as the lead medical secretary for oncology testing center Reach Oncology, which specializes in genetic cancer and acquires patient tissue for study from various pathology labs.   To support t"
